year,chsa_code,chsa_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total
2007,5172,Terrace Rural,3,3,3,5,2,1,9,0,1,2,5,3,37
2007,5180,Nisga'a,3,0,3,2,2,0,3,1,0,1,2,1,18
2007,5190,Telegraph Creek,0,1,1,1,1,0,0,0,1,0,0,0,5
2007,5211,Quesnel City Centre,6,6,4,5,5,10,8,7,10,14,13,7,95
2007,5212,Quesnel Rural,5,7,10,8,5,5,7,2,8,10,8,8,83
2007,5221,Burns Lake Town Centre,3,4,4,4,5,5,1,2,2,2,4,7,43
2007,5222,Burns Lake South,1,0,0,1,0,1,0,2,0,0,0,0,5
2007,5223,Burns Lake North,0,0,1,0,3,1,0,3,0,0,0,0,8
2007,5231,Vanderhoof,5,8,5,2,4,5,3,4,6,5,3,7,57
2007,5232,Vanderhoof Rural,0,0,1,1,1,0,1,1,0,0,0,0,5
2007,5233,Fort St. James North,3,7,1,2,2,1,5,4,8,2,4,9,48
2007,5234,Fraser Lake,1,1,1,2,0,0,1,0,1,0,3,1,11
2007,5241,Prince George City - North,6,6,8,6,6,4,5,4,2,4,6,8,65
2007,5242,Prince George City - Central,32,39,32,24,28,45,28,21,32,26,28,36,371
2007,5243,Prince George City - Southwest,3,6,4,7,5,4,5,8,2,1,2,6,53
2007,5244,Prince George Southwest Rural,5,7,4,2,3,1,2,3,3,5,3,2,40
2007,5245,Prince George North Fraser Rural,0,3,3,1,3,3,2,0,1,1,3,4,24
2007,5246,McBride/Valemount,2,1,4,1,1,1,3,3,2,1,3,2,24
2007,5247,Mackenzie,0,3,0,3,2,2,2,2,3,3,1,1,22
2007,5311,Dawson Creek,3,8,9,3,9,7,16,7,15,4,6,7,94
2007,5312,Chetwynd,1,1,3,3,1,0,2,2,5,2,1,3,24
2007,5313,Tumbler Ridge,1,1,0,1,0,1,1,0,0,0,0,0,5
2007,5314,Peace River South Rural,4,3,5,4,6,10,3,3,3,5,3,6,55
